section,title,valor,quartos,banheiros,metros_quadrados,vagas_carro,endereço,data de postagem
1,Linda Casa Próxima à Praia em Itarema - CE,,3,,,,Itarema,"20 de ago, 12:50"
2,Vendo casa no Bairro São José,R$ 120.000,2,2,125m²,,"Juazeiro do Norte, São José","20 de ago, 09:44"
3,Casa de aluguel,R$ 90.000,3,1,124m²,1,"Juazeiro do Norte, Santo Antônio","20 de ago, 09:24"
4,Linda casa moderna com 3 suítes em Fortim-Ce,R$ 3.949.706,3,5+,256m²,,Fortim,"20 de ago, 08:53"
5,Casa no Padre Cícero em Penaforte/CE,R$ 71.280,2,2,70m²,,Penaforte,"20 de ago, 08:50"
6,Casa na Cidade Com Deus em Camocim/CE,R$ 178.560,3,2,98m²,,Camocim,"20 de ago, 08:46"
7,Casa na Professora Maria Geli De Sa Barreto - Juazeiro Do Norte/CE,R$ 341.280,3,1,120m²,,"Juazeiro do Norte, Professora Maria Geli Sá Barreto","20 de ago, 08:44"
8,Casa em Zacarias Junior - Jaguaribara/CE,R$ 54.000,2,1,105m²,,Jaguaribara,"20 de ago, 08:43"
9,FORTIM ECO VILLAGE,R$ 2.863.262,5+,5+,312m²,,Fortim,"20 de ago, 01:12"
10,CASA LOTEAMENTO BELA VISTA,R$ 250.000,2,2,120m²,,"Russas, Centro","19 de ago, 22:10"
11,POUSADA JERICOACOARA,R$ 2.450.000,,,,,Jijoca de Jericoacoara,"19 de ago, 20:21"
12,Vende-se casa na vila grega - Aracati,R$ 245.000,3,2,200m²,,Aracati,"19 de ago, 19:02"
13,Vendo casa no Juazeiro!,R$ 600.000,3,4,225m²,,"Juazeiro do Norte, Lagoa Seca","19 de ago, 16:29"
14,Vendo Casa no Juazeiro!,R$ 300.000,3,,,,"Juazeiro do Norte, São José","19 de ago, 16:29"
15,Vendo Belissima casa no Juazeiro!,R$ 600.000,3,3,141m²,,"Juazeiro do Norte, Cidade Universitária","19 de ago, 16:29"
16,Vendo Apartamento no Juazeiro!,R$ 590.000,4,5+,172m²,,"Juazeiro do Norte, Lagoa Seca","19 de ago, 16:29"
17,Vendo casa no Juazeiro!,R$ 210.000,3,2,110m²,,"Juazeiro do Norte, Tiradentes","19 de ago, 16:29"
18,Vendo duplex em Condomínio! Juazeiro.,R$ 700.000,5+,4,250m²,,"Juazeiro do Norte, Lagoa Seca","19 de ago, 16:28"
19,Vendo belíssimas casa em Barbalha!,R$ 430.000,3,4,155m²,,Barbalha,"19 de ago, 16:28"
20,Vendo belissimo duplex na planta no Condomínio Cidades Kariris!,R$ 1.500.000,4,4,305m²,,Barbalha,"19 de ago, 16:28"
21,CASA NO PREA,,3,4,250m²,,Marco,"19 de ago, 13:06"
22,CASA A VENDA COM 1 SUÌTE E 2 QUARTOS EM FORTIM - CE,R$ 290.000,3,2,225m²,1,Fortim,"19 de ago, 11:25"
23,Casa de sítio,R$ 75.000,2,2,30m²,1,Viçosa do Ceará,"19 de ago, 09:08"
24,CASA A VENDA mobilhada com 2 pavimentos Barra - Fortim - CE,R$ 290.000,,,,,Fortim,"19 de ago, 08:52"
25,Vendo uma linda casa do lado do cidades kariri,R$ 300.000,3,2,187m²,,Barbalha,"18 de ago, 16:36"
26,Duplex - Leandro Bezerra,R$ 450.000,3,3,120m²,,"Juazeiro do Norte, Leandro Bezerra de Meneses","18 de ago, 14:44"
27,CASA DUPLEX NI CENTRO DE JUAZEIRO DO NORTE,R$ 772.000,4,4,356m²,,"Juazeiro do Norte, Salesianos","18 de ago, 12:21"
28,"Casa duplex para venda com porteira fechada, toda mobiliada, em Muriti - Crato - CE",R$ 1.300.000,4,4,450m²,,"Crato, Muriti","18 de ago, 11:24"
